,Company,Name,Fuel,Capacity,Start_date,Location,Simplified_Type
100,Blue energy,Beinneun Wind Farm,Wind,108.8,2017,Scotland,Onshore
101,Blue energy,Cour Wind Farm,Wind,20.5,2016,Scotland,Onshore
134,Cubico Sustainable Investments Limited,Kinblethmont Solar Park (Scotland),Solar,5.0,2016,Scotland,PV
135,Cubico Sustainable Investments Limited,New Mains of Guynd (Scotland),Solar,5.0,2016,Scotland,PV
147,E.On UK,Steven's Croft *,Biomass_wood,50.0,2007,Scotland,Biomass_wood
151,E.On UK,Bowbeat (Emly Bank),Wind,15.6,2002,Scotland,Onshore
152,E.On UK,Bowbeat (Roughside),Wind,15.6,2002,Scotland,Onshore
155,E.On UK,Camster,Wind,50.0,2013,Scotland,Onshore
156,E.On UK,Deucheran Hill (RO),Wind,15.8,2001,Scotland,Onshore
172,E.On UK,Robin Rigg East,Wind (offshore),90.0,2010,Scotland,Onshore
173,E.On UK,Robin Rigg West,Wind (offshore),90.0,2010,Scotland,Onshore
174,E.On UK,Rosehall,Wind,25.0,2013,Scotland,Onshore
187,Ecotricity,Dundee,Wind,4.0,2006,Scotland,Onshore
188,Ecotricity,East Kilbride,Wind,0.6,2016,Scotland,Onshore
209,EDF Energy,Hunterston B,Nuclear,1074.0,1976,Scotland,Nuclear
210,EDF Energy,Torness,Nuclear,1250.0,1988,Scotland,Nuclear
223,EDF renewables,Burnfoot,Wind,30.1,2010,Scotland,Onshore
224,EDF renewables,Burnhead Moss,Wind,26.0,2015,Scotland,Onshore
227,EDF renewables,Corriemoillie,Wind,47.5,2017,Scotland,Onshore
230,EDF renewables,Fallago Rig,Wind,144.0,2013,Scotland,Onshore
240,EDF renewables,Longpark,Wind,38.0,2009,Scotland,Onshore
242,EDF renewables,Pearie Law,Wind,19.2,2016,Scotland,Onshore
245,EDF renewables,Rhodders ,Wind,12.0,2016,Scotland,Onshore
254,Eneco,Burn of Whilk,Wind,22.5,2015,Scotland,Onshore
255,Eneco,Lochluichart,Wind,69.0,2014,Scotland,Onshore
256,Eneco,Moy,Wind,60.0,2016,Scotland,Onshore
257,Eneco,Tullo,Wind,17.0,2010,Scotland,Onshore
